record_id,date,time,district,province,country,temperature_c,humidity_pct,previous_consumption_kwh,household_size,ac_usage,fan_usage,hour,day,month,day_of_week,is_weekend,electricity_consumption_kwh
1,2025-01-01,00:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.818902533207115,82.46658892693623,1.703,3,0,1,0,1,1,2,0,1.549
2,2025-01-01,01:00:00,Kegalle,Sabaragamuwa,Sri Lanka,21.46342040139821,85.59649393599645,1.549,3,0,1,1,1,1,2,0,1.211
3,2025-01-01,02:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.800360956645164,75.87239832068873,1.211,2,0,0,2,1,1,2,0,0.903
4,2025-01-01,03:00:00,Kegalle,Sabaragamuwa,Sri Lanka,23.047859459503577,79.92098517694087,0.903,6,0,0,3,1,1,2,0,1.462
5,2025-01-01,04:00:00,Kegalle,Sabaragamuwa,Sri Lanka,21.014300718480502,83.2663606498223,1.462,6,0,1,4,1,1,2,0,1.798
6,2025-01-01,05:00:00,Kegalle,Sabaragamuwa,Sri Lanka,21.97835740718781,78.76240059337037,1.798,3,0,0,5,1,1,2,0,1.281
7,2025-01-01,06:00:00,Kegalle,Sabaragamuwa,Sri Lanka,23.70227232253383,82.68106856402757,1.281,2,0,1,6,1,1,2,0,1.549
8,2025-01-01,07:00:00,Kegalle,Sabaragamuwa,Sri Lanka,24.022312599838074,68.69630656725232,1.549,6,0,0,7,1,1,2,0,2.108
9,2025-01-01,08:00:00,Kegalle,Sabaragamuwa,Sri Lanka,24.98655907399657,66.42825961249783,2.108,6,0,0,8,1,1,2,0,1.566
10,2025-01-01,09:00:00,Kegalle,Sabaragamuwa,Sri Lanka,25.042258184228196,74.57874606649087,1.566,6,0,1,9,1,1,2,0,1.998
11,2025-01-01,10:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.10351837989026,73.51348139142527,1.998,4,0,1,10,1,1,2,0,1.45
12,2025-01-01,11:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.60213253566549,68.1648221461816,1.45,5,0,1,11,1,1,2,0,1.525
13,2025-01-01,12:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.4776956886454,69.84009681615942,1.525,5,0,1,12,1,1,2,0,1.399
14,2025-01-01,13:00:00,Kegalle,Sabaragamuwa,Sri Lanka,28.60638527918382,70.98082791052563,1.399,3,0,1,13,1,1,2,0,1.513
15,2025-01-01,14:00:00,Kegalle,Sabaragamuwa,Sri Lanka,28.174007473801638,64.98306639256954,1.513,4,0,1,14,1,1,2,0,1.39
16,2025-01-01,15:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.017158343302803,66.11042867331173,1.39,3,0,1,15,1,1,2,0,1.166
17,2025-01-01,16:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.71987175786243,70.80915724848872,1.166,5,0,1,16,1,1,2,0,1.494
18,2025-01-01,17:00:00,Kegalle,Sabaragamuwa,Sri Lanka,26.212792906659132,75.11635583957488,1.494,6,0,1,17,1,1,2,0,1.767
19,2025-01-01,18:00:00,Kegalle,Sabaragamuwa,Sri Lanka,27.102760241045818,68.52443897885041,1.767,2,0,1,18,1,1,2,0,2.009
20,2025-01-01,19:00:00,Kegalle,Sabaragamuwa,Sri Lanka,25.684752597498058,74.20820947225992,2.009,2,0,1,19,1,1,2,0,1.645
21,2025-01-01,20:00:00,Kegalle,Sabaragamuwa,Sri Lanka,24.852110109163792,75.83478678889989,1.645,3,0,0,20,1,1,2,0,2.018
22,2025-01-01,21:00:00,Kegalle,Sabaragamuwa,Sri Lanka,23.73056303818979,80.17183642017106,2.018,2,0,1,21,1,1,2,0,1.961
23,2025-01-01,22:00:00,Kegalle,Sabaragamuwa,Sri Lanka,24.578033070939227,79.9149539882705,1.961,2,0,0,22,1,1,2,0,1.651
24,2025-01-01,23:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.896477427022624,78.87864349127963,1.651,6,0,0,23,1,1,2,0,1.696
25,2025-01-02,00:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.232466611673086,86.7557439070531,1.696,4,0,1,0,2,1,3,0,1.333
26,2025-01-02,01:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.013700846000024,79.84297007351672,1.333,5,0,0,1,2,1,3,0,1.386
27,2025-01-02,02:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.62584734844268,80.59309533193766,1.386,4,0,1,2,2,1,3,0,1.394
28,2025-01-02,03:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.58776293788187,74.69618728281257,1.394,5,0,0,3,2,1,3,0,1.389
29,2025-01-02,04:00:00,Kegalle,Sabaragamuwa,Sri Lanka,22.90531495868036,77.09524396092225,1.389,5,0,0,4,2,1,3,0,1.597
30,2025-01-02,05:00:00,Kegalle,Sabaragamuwa,Sri Lanka,23.364757815083973,80.5643043053562,1.597,2,0,1,5,2,1,3,0,1.476
31,2025-01-02,06:00:00,Kegalle,Sabaragamuwa,Sri Lanka,25.31331808069637,78.09414114113709,1.476,2,0,1,6,2,1,3,0,1.64
32,2025-01-02,07:00:00,Kegalle,Sabaragamuwa,Sri Lanka,23.95017466060525,77.39806796026305,1.64,4,0,0,7,2,1,3,0,1.707
33,2025-01-02,08:00:00,Kegalle,Sabaragamuwa,Sri Lanka,24.59020581674277,75.39219582806504,1.707,3,0,0,8,2,1,3,0,1.64
