record_id,date,time,district,province,temperature_c,humidity_pct,previous_consumption_kwh,household_size,ac_usage,fan_usage,work_from_home,electricity_consumption_kwh
1,2025-01-01,00:00:00,Colombo,Western,27.53,82.32,1.1326,6,0,1,0,2.2128
2,2025-01-01,00:00:00,Galle,Southern,28.29,80.94,1.1084,2,0,1,0,1.9497
3,2025-01-01,00:00:00,Gampaha,Western,26.33,75.77,1.1289,3,0,0,1,1.9012
4,2025-01-01,00:00:00,Kandy,Central,25.27,79.25,1.1304,4,0,0,0,1.6135
5,2025-01-01,00:00:00,Kegalle,Sabaragamuwa,26.82,78.41,1.0779,2,0,1,1,1.9081
6,2025-01-01,00:00:00,Kurunegala,North Western,26.85,79.43,1.0505,5,0,1,0,1.944
7,2025-01-01,01:00:00,Colombo,Western,27.42,78.45,2.2128,6,0,1,0,2.429
8,2025-01-01,01:00:00,Galle,Southern,27.17,80.44,1.9497,4,0,1,1,2.1186
9,2025-01-01,01:00:00,Gampaha,Western,25.85,79.83,1.9012,5,0,1,0,2.0878
10,2025-01-01,01:00:00,Kandy,Central,25.42,79.8,1.6135,2,0,0,0,1.654
11,2025-01-01,01:00:00,Kegalle,Sabaragamuwa,27.0,82.53,1.9081,7,0,1,0,2.1685
12,2025-01-01,01:00:00,Kurunegala,North Western,27.45,78.91,1.944,6,0,1,0,2.1734
13,2025-01-01,02:00:00,Colombo,Western,26.07,80.8,2.429,2,0,1,1,2.1455
14,2025-01-01,02:00:00,Galle,Southern,25.37,80.53,2.1186,6,0,0,0,1.9609
15,2025-01-01,02:00:00,Gampaha,Western,25.22,79.6,2.0878,6,0,0,0,1.9532
16,2025-01-01,02:00:00,Kandy,Central,25.88,80.37,1.654,4,0,0,0,1.7362
17,2025-01-01,02:00:00,Kegalle,Sabaragamuwa,25.91,85.98,2.1685,4,0,1,1,2.1894
18,2025-01-01,02:00:00,Kurunegala,North Western,26.12,80.62,2.1734,7,0,1,1,2.0785
19,2025-01-01,03:00:00,Colombo,Western,26.75,82.51,2.1455,5,0,1,0,2.2632
20,2025-01-01,03:00:00,Galle,Southern,25.11,81.99,1.9609,6,0,0,1,2.054
21,2025-01-01,03:00:00,Gampaha,Western,25.2,82.65,1.9532,4,0,0,0,2.1998
22,2025-01-01,03:00:00,Kandy,Central,25.07,87.54,1.7362,4,0,0,1,1.9429
